,no,지역,매장명,지점명,주소,위도,경도
0,1,서울,홈플러스,영등포점,서울 영등포구 당산로 42,37.5182396969791,126.895880210522
1,2,서울,하이웨이마트,구의점,서울 광진구 광나루로 516,37.5446133307157,127.086624035232
2,3,서울,이마트,하월곡점,서울 성북구 종암로 167,37.6050587642973,127.030990445726
3,4,서울,이마트,은평점,서울 은평구 은평로 111,37.6008254685415,126.920513478627
4,5,서울,이마트,월계점,서울 노원구 마들로3길 15,37.6265093604229,127.061979778612
5,6,서울,이마트,왕십리점,서울 성동구 왕십리광장로 17,37.5614417528647,127.038394194396
6,7,서울,이마트 에브리데이,중계동점,서울 노원구 중계로12길 39,37.6467018420157,127.082620520916
7,8,서울,이마트,수서점,서울 강남구 광평로 280,37.4873191631489,127.103108072457
8,9,서울,이마트,성수점,서울 성동구 뚝섬로 379,37.5399292282845,127.053494215652
9,10,서울,이마트,상봉점,서울 중랑구 상봉로 118,37.596467652374,127.09360845762
10,11,서울,이마트,미아점,서울 성북구 도봉로 17,37.6108552099076,127.029867413357
11,12,서울,이마트,묵동점,서울 중랑구 동일로 932,37.6138393830212,127.077557139207
12,13,서울,이마트,가양점,서울 강서구 양천로 559,37.558194814626,126.861817646457
13,14,서울,롯데슈퍼,공덕점,서울 마포구 마포대로 109,37.5451188164137,126.950886259458
14,15,서울,롯데빅마켓,금천점,서울 금천구 두산로 71,37.4706228483117,126.895673628058
15,16,서울,롯데마트,서울역점,서울 중구 한강대로 405,37.5547278494914,126.969526329341
16,17,서울,롯데마트,강변점,서울 광진구 광나루로56길 85,37.535725176732,127.095692162256
17,18,서울,농협,양재점,서울 서초구 청계산로 10,37.4632288044056,127.043530153585
18,19,서울,GS슈퍼마켓,종로평창점,서울 종로구 평창문화로 75,37.606862635259,126.96900620111
19,20,서울,GS슈퍼마켓,잠실파크리오점,서울 송파구 올림픽로 435,37.5213592954462,127.104971745978
20,21,서울,GS슈퍼마켓,송파위례점,서울 송파구 위례광장로 200,37.4812079970908,127.142907401149
21,22,서울,GS슈퍼마켓,동소문점,서울 성북구 성북로4길 52,37.5944725333435,127.012706037821
22,23,서울,GS슈퍼마켓,고덕점,서울 강동구 고덕로 333,37.5561805813458,127.159323340926
23,24,서울,GS슈퍼마켓,강동고덕점,서울 강동구 상일로 55,37.5533182082692,127.168788219773
24,25,경기,이마트,별내점,경기 남양주시 순화궁로 167,37.6428100149332,127.125967996663
25,26,경기,하이웨이마트,오목천점,경기 수원시 권선구 매송고색로 565,37.2473324348165,126.966050563888
26,27,경기,하이웨이마트,송탄지산점,경기 평택시 송탄공원로 91,37.0758168203896,127.059179930395
27,28,경기,이마트,화정점,경기 고양시 덕양구 백양로 79,37.6326870819297,126.833399287992
28,29,경기,이마트,평촌점,경기 안양시 동안구 시민대로 300,37.3949102903955,126.963710917289
29,30,경기,이마트,파주운정점,경기 파주시 한울로 123,37.7103886992595,126.745102298599
30,31,경기,이마트,의왕점,경기 의왕시 경수대로 262,37.3506825569407,126.973189534705
31,32,경기,이마트 에브리데이,신곡풍림점,경기 의정부시 회룡로 241,37.7268229864418,127.060630955172
32,33,경기,이마트 에브리데이,민락점,경기 의정부시 승지로 29,37.7375421071683,127.092407386994
33,34,경기,이마트,수지점,경기 용인시 수지구 수지로 203,37.3197392590297,127.083327747719
34,35,경기,이마트,성남점,경기 성남시 수정구 수정로 201,37.4442862725336,127.141411017385
35,36,경기,이마트,부천점,경기 부천시 부천로 지하 1-1,37.4844254232929,126.782739135392
36,37,경기,이마트,보라점,경기 용인시 기흥구 한보라1로 92,37.2475310681116,127.105089234799
37,38,경기,이마트,도농점,경기 남양주시 도농로 24,37.6082044738715,127.157753794985
38,39,경기,이마트,광명점,경기 광명시 오리로 970,37.4794606227849,126.855644254558
39,40,경기,이마트,과천점,경기 과천시 별양상가3로 11,37.4262955749411,126.991860677863
40,41,경기,이마트,고잔점,경기 안산시 단원구 원포공원1로 46,37.3031149487989,126.812920187596
41,42,경기,롯데마트,평택점,경기 평택시 평택5로 30,36.9883655372149,127.111760767543
42,43,경기,롯데마트,주엽점,경기 고양시 일산서구 중앙로 1496,37.6736581794828,126.754640891515
43,44,경기,롯데마트,오산점,경기 오산시 경기대로 271,37.1494512450072,127.073047019053
44,45,경기,농협,화성정남점,경기 화성시 정남면 가장로 20-16,37.168208973227,126.985849383428
45,46,경기,GS슈퍼마켓,수원아트리움점,경기 수원시 장안구 이목로 24-3,37.3096541342515,126.984746205061
46,47,인천,홈플러스,인하점,인천 미추홀구 소성로 6,37.4470674411551,126.650849261836
47,48,인천,홈플러스,가좌점,인천 서구 가정로151번길 11,37.4976472852329,126.670737253422
48,49,인천,롯데마트,삼산점,인천 부평구 길주로 623,37.5078881923517,126.732053818663
49,50,인천,롯데마트,부평점,인천 부평구 마장로 296,37.5050118176597,126.704074784237
50,51,인천,GS슈퍼마켓,송도마스터뷰점,인천 연수구 컨벤시아대로274번길 15,37.3812947880742,126.632990400691
51,52,인천,GS슈퍼마켓,송도그린워크점,인천 연수구 아트센터대로97번길 15,37.4014045100595,126.640674639886
52,53,강원,이마트,속초점,강원 속초시 설악금강대교로 12,38.191043882159,128.595763738089
53,54,강원,GS슈퍼마켓,원주혁신점,강원 원주시 혁신로 61,37.3233936036259,127.980834888995
54,55,경남,이마트,마산점,경남 창원시 마산합포구 서성로 3,35.1978842304914,128.569952174106
55,56,경남,농협,창원점,경남 창원시 의창구 지귀로12번길 31,35.2435667216306,128.652619736084
56,57,경남,농협,남창원점,경남 창원시 성산구 가음로 100,35.204018162369,128.703158680538
57,58,경남,GS슈퍼마켓,마산점,경남 창원시 마산합포구 월영동4길 10,35.1794707648534,128.56071693391
58,59,경북,킹스마트,현곡점,경북 경주시 현곡면 용담로 548-10,35.8894733888035,129.174452255886
59,60,경북,이마트,동구미점,경북 구미시 이계북로 23,36.106328307283,128.404177032859
60,61,경북,롯데마트,김천점,경북 김천시 시청로 80,36.1359705509825,128.117793680577
61,62,광주,롯데마트,상무점,광주 서구 시청로 40,35.1523683644087,126.852422214795
62,63,대구,이마트,성서점,대구 달서구 이곡동로 24,35.8533295916132,128.510168417539
63,64,대전,롯데마트,대덕점,대전 유성구 테크노중앙로 14,36.4269265013269,127.386979426622
64,65,부산,이마트,문현점,부산 남구 전포대로91번길 47,35.1443053954842,129.064238587702
65,66,부산,GS슈퍼마켓,원동점,부산 해운대구 선수촌로 65-7,35.1995552754463,129.118204017457
66,67,부산,GS슈퍼마켓,대동점,부산 해운대구 대천로103번길 29,35.1765713115698,129.17149491438
67,68,울산,GS슈퍼마켓,울산구영점,울산 울주군 범서읍 점촌3길 8-15,35.5747696206575,129.240532427001
68,69,충남,축협,예산점,충남 예산군 예산읍 군청로 88,36.6860851134584,126.843683811156
69,70,충북,하이웨이마트,청주 금천점,충북 청주시 상당구 수영로 265,36.628486946405,127.504917922495
70,71,충북,롯데마트,제천점,충북 제천시 용두대로 111,37.1401241453539,128.200773271226
71,72,충북,농협,하나로마트 청주점,충북 청주시 상당구 무농정로 32,36.6048173494679,127.507391938401
72,73,제주,반환수집소,중문동,제주특별자치도 서귀포시 중문상로17번길 3,33.2499671585576,126.42406002378
73,74,제주,반환수집소,강정동,제주특별자치도 서귀포시 신서로 43,33.2538855247603,126.504810584353
74,75,전남,이마트,순천점,전남 순천시 팔마로 191,34.9425719076455,127.508450253353
75,76,전남,농협,동광양점,전남 광양시 공영로 25,34.9364017185471,127.692033541508
